Year,,,Avg temp,Delhi,Avg temp global,Global,
1870,,,24.89,24.89,8.2,8.2,
1871,,,24.88,24.885,8.12,8.16,
1872,,,24.94,24.90333333,8.19,8.17,
1873,,,25.06,24.9425,8.35,8.215,
1874,,,24.25,24.804,8.43,8.258,
1875,,,25.38,24.902,7.86,8.19,
1876,,,24.93,24.912,8.08,8.182,
1877,,,25.08,24.94,8.54,8.252,
1878,,,25.18,24.964,8.83,8.348,
1879,,,24.86,25.086,8.17,8.296,
1880,,,25.45,25.1,8.12,8.348,
1881,,,25.09,25.132,8.27,8.386,
1882,,,24.89,25.094,8.13,8.304,
1883,,,24.82,25.022,7.98,8.134,
1884,,,24.67,24.984,7.77,8.054,
1885,,,24.38,24.77,7.92,8.014,
1886,,,24.89,24.73,7.95,7.95,
1887,,,24.9,24.732,7.91,7.906,
1888,,,24.88,24.744,8.09,7.928,
1889,,,25.21,24.852,8.32,8.038,
1890,,,25.06,24.988,7.97,8.048,
1891,,,24.68,24.946,8.02,8.062,
1892,,,25.49,25.064,8.07,8.094,
1893,,,23.84,24.856,8.06,8.088,
1894,,,24.74,24.762,8.16,8.056,
1895,,,25.15,24.78,8.15,8.092,
1896,,,25.83,25.01,8.21,8.13,
1897,,,25.39,24.99,8.29,8.174,
1898,,,25.55,25.332,8.18,8.198,
1899,,,25.86,25.556,8.4,8.246,
1900,,,25.56,25.638,8.5,8.316,
1901,,,25.49,25.57,8.54,8.382,
1902,,,25.66,25.624,8.3,8.384,
1903,,,25.14,25.542,8.22,8.392,
1904,,,25.07,25.384,8.09,8.33,
1905,,,24.75,25.222,8.23,8.276,
1906,,,25.17,25.158,8.38,8.244,
1907,,,25.02,25.03,7.95,8.174,
1908,,,25.14,25.03,8.19,8.168,
1909,,,24.75,24.966,8.18,8.186,
1910,,,24.81,24.978,8.22,8.184,
1911,,,25.36,25.016,8.18,8.144,
1912,,,25.25,25.062,8.17,8.188,
1913,,,24.94,25.022,8.3,8.21,
1914,,,25.12,25.096,8.59,8.292,
1915,,,25.73,25.28,8.59,8.366,
1916,,,25.07,25.222,8.23,8.376,
1917,,,23.84,24.94,8.02,8.346,
1918,,,25.28,25.008,8.13,8.312,
